title,in-zh-hans,link,link-title,og-link,image
PUI PUI モルカー,天竺鼠车车,https://molcar-anime.com/,molcar,https://molcar-anime.com/wp-content/themes/molcar-anime/images/ogp.jpg,molcar
Raised by Wolves,异星灾变,https://www.hbomax.com/series/urn:hbo:series:GX0WFcAlf5r5cuAEAAADu,raised-by-wolves,https://hbomax-images.warnermediacdn.com/2020-08/Kepler-22B_screenshot.jpg,raised-by-wolves
Red Notice,红色通缉令,https://www.netflix.com/title/81161626,,https://occ-0-116-114.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABbR-nSp2Yb60VN2KH-T2Q0waTmBY8xNlVrdaMj-ogKxkqtDI--frpa7Sn_LRnaT0EmYb-KIAh3--aj9ngy2MhAENI-Ul.jpg,red-notice
Redline,红线,http://red-line.jp/,red-line,,red-line
Reminiscence,追忆迷局,https://www.reminiscencefilm.com/,reminiscence,https://www.reminiscencefilm.com/images/share.jpg,reminiscence
Resident Alien,外星居民,https://www.syfy.com/resident-alien,resident-alien,,resident-alien
Rick and Morty,瑞克和莫蒂,https://www.adultswim.com/videos/rick-and-morty/,rick-and-morty,https://media.cdn.adultswim.com/uploads/20210503/2153915577-RAMs5metaThumb.png,rick-and-morty
Ride or Die,彼女,https://www.netflix.com/title/81261676,,https://occ-0-116-114.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABRoCbAoTT0wzkTlrQNSRxZDMWYM-c1M8x6XJCUUOpK8usiq4VJ3rbm2LbF0w5in6hwqRHy_Ge72MhYGvRbAADxgUON1A.jpg,ride-or-die
Shang-Chi and The Legend of The Ten Rings,尚气与十环传奇,https://www.marvel.com/movies/shang-chi-and-the-legend-of-the-ten-rings,,https://terrigen-cdn-dev.marvel.com/content/prod/1x/shangchi_lob_mas_mob_01.jpg,shang-chi-and-the-legend-of-the-ten-rings
Solar Opposites,外星也难民,https://www.hulu.com/series/solar-opposites-f089664b-1a87-433b-86a5-24e7da5a246a,solar-opposites,https://img4.hulu.com/user/v3/artwork/f089664b-1a87-433b-86a5-24e7da5a246a,solar-opposites
Sweet Tooth,鹿角男孩,https://www.netflix.com/title/81221380,,https://occ-0-116-114.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABW9iBPUTkV9Bm9nOcP64ngGjIOnr68f2jLNCpG6jxFVFxhrDCHUggXprwkgAoRPiuaoKEx3JNun9lq3dyOvBeaE0ax7A.jpg,sweet-tooth
The Falcon and The Winter Soldier,猎鹰与冬兵,https://www.disneyplus.com/series/the-falcon-and-the-winter-soldier/4gglDBMx8icA,the-falcon-and-the-winter-soldier,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/6D9C72D55197D6034779AFC88A82B9719FC3DB9CA4A81635285D5FBC9936EE8C/scale,the-falcon-and-the-winter-soldier
The Father,困在时间里的父亲,http://thefathermovie.com/,thefather,https://www.sonyclassics.com//assets/img/films/thefather/photos/large/1.jpg,the-father
The Old Guard,永生守卫,https://www.netflix.com/title/81038963,,,the-old-guard
The Suicide Squad,X特遣队：全员集结,https://www.thesuicidesquad.net/,thesuicidesquad,https://www.thesuicidesquad.net/images/share.jpg,the-suicide-squad
