title,link-title,link,译制名,og:image,image-link
さよならの朝に約束の花をかざろう,sayoasa,http://sayoasa.jp/,朝花夕誓,√,http://sayoasa.jp/image/ogp.jpg
シドニアの騎士 あいつむぐほし,knightsofsidonia,http://www.knightsofsidonia.com/,希德尼娅的骑士 编织爱的星星,√,https://sidonia-anime.jp/assets/og/og.jpg
ソードアート・オンライン アリシゼーション War of Underworld,sao-alicization,https://sao-alicization.net/,刀剑神域 爱丽丝篇,√,https://sao-alicization.net/og_200610.jpg
デカダンス,decadence,http://decadence-anime.com,没落要塞,√,http://decadence-anime.com/og-image.jpg
デスノート,deathnote,https://www.ntv.co.jp/deathnote/,死亡笔记,√,https://www.ntv.co.jp/deathnote/images/og_image.jpg
フラグタイム,frag-time,https://frag-time.com/,时光沙漏,√,https://frag-time.com/img/ogp_2.jpg
やはり俺の青春ラブコメはまちがっている。完,oregairu,http://www.tbs.co.jp/anime/oregairu/,我的青春恋爱物语果然有问题 第三季 完,√,https://www.tbs.co.jp/anime/oregairu/img/ogp.png
八佰,,,,,
半沢直樹,hanzawa_naoki,http://www.tbs.co.jp/hanzawa_naoki/,半泽直树,√,http://www.tbs.co.jp/hanzawa_naoki/img/ogp.png
薄暮,hakubo,http://www.hakubo-movie.jp/,薄暮,√,http://hakubo-movie.jp/images/og2.png
宝石商リチャード氏の謎鑑定,jeweler-richard,https://jeweler-richard.com/,宝石商人理查德的谜鉴定,√,https://jeweler-richard.com/og_jp.jpg
攻殻機動隊 SAC_2045,ghostintheshell-sac2045,https://www.ghostintheshell-sac2045.jp/,攻壳机动队：SAC_2045,√,https://www.ghostintheshell-sac2045.jp/M8bxz6AT/wp-content/themes/sac2045_tpl_v3/assets/img/ogp_1.png
今日から俺は！！,kyoukaraoreha,https://www.ntv.co.jp/kyoukaraoreha/,我是大哥大,√,https://www.ntv.co.jp/kyoukaraoreha/images/ogp_sp.jpg
君の膵臓をたべたい,kimisui,https://kimisui-anime.com/,我想吃掉你的胰脏,√,http://kimisui-anime.com/og.png?d=180316
空の青さを知る人よ,soraaoproject,https://soraaoproject.jp/,知晓天空之蓝的人啊,√,https://soraaoproject.jp/images/og2.png
快餐车,,,快餐车,,
灵笼,,,,,
魔女の宅急便,,,魔女宅急便,,
泣きたい私は猫をかぶる,nakineko,https://nakineko-movie.com/,想哭的我带上了猫面具,√,https://nakineko-movie.com/assets/img/ogp4.jpg
世にも奇妙な物語,kimyo,https://www.fujitv.co.jp/kimyo/index.html,世界奇妙物语,√,https://www.fujitv.co.jp/kimyo/img/logo_ogp.jpg
天気の子,tenkinoko,https://www.tenkinoko.com/,天气之子,√,https://tenkinoko.com/assets/images/share2.png
无间道,,,,,
心が叫びたがってるんだ。,kokosake,https://www.kokosake.jp/,心灵想要大声呼喊,√,http://www.kokosake.jp/ogp.jpg
夜明け告げるルーのうた,lunouta,https://lunouta.com/,宣告黎明的露之歌,√,http://www.lunouta.com/images/og.png
映像研には手を出すな！,eizouken-saikyo,https://eizouken-saikyo.com/,别对映像研出手,√,https://eizouken-saikyo.com/assets/common/images/sns/ogp.jpg
싸이코패스 다이어리,psychodiary,http://program.tving.com/tvn/psychodiary/,精神变态日记,√,http://img.lifestyler.co.kr/uploads/program/2/2035/skin/f132144810695528000(0).png
썸남,ssumnam,https://tv.naver.com/ssumnam,暧昧男子,√,https://phinf.pstatic.net/tvcast/20170328_193/B4OHf_1490680788285Wh0eV_JPEG/1490680788250.jpg
타인은지옥이다,strangersfromhell,http://program.tving.com/ocn/strangersfromhell,他人即地狱,√,http://img.lifestyler.co.kr/uploads/program/1/1993/skin/f132094591063400173(0).jpg
